id,名称,父id,拼音首字母,拼音首字母集合,拼音,附加说明,行政级别,行政代码,区号,排序
150,赤峰,7,c,cf,chifeng,,市,150400 ,476 ,4
151,通辽,7,t,tl,tongliao,,市,150500 ,475 ,5
152,鄂尔多斯,7,e,eeds,eerduosi,,市,150600 ,477 ,6
153,呼伦贝尔,7,h,hlbe,hulunbeier,,市,150700 ,470 ,7
154,巴彦淖尔,7,b,byne,bayannaoer,,市,150800 ,478 ,8
155,乌兰察布,7,w,wlcb,wulanchabu,,市,150900 ,474 ,9
156,兴安,7,x,xa,xingan,,盟,152200 ,482 ,10
157,锡林郭勒,7,x,xlgl,xilinguole,,盟,152500 ,479 ,11
158,阿拉善,7,a,als,alashan,,盟,152900 ,483 ,12
159,沈阳,8,s,sy,shenyang,,市,210100 ,24 ,1
160,大连,8,d,dl,dalian,,市,210200 ,411 ,2
161,鞍山,8,a,as,anshan,,市,210300 ,412 ,3
162,抚顺,8,f,fs,fushun,,市,210400 ,413 ,4
163,本溪,8,b,bx,benxi,,市,210500 ,414 ,5
164,丹东,8,d,dd,dandong,,市,210600 ,415 ,6
165,锦州,8,j,jz,jinzhou,,市,210700 ,416 ,7
166,营口,8,y,yk,yingkou,,市,210800 ,417 ,8
167,阜新,8,f,fx,fuxin,,市,210900 ,418 ,9
168,辽阳,8,l,ly,liaoyang,,市,211000 ,419 ,10
169,盘锦,8,p,pj,panjin,,市,211100 ,427 ,11
170,铁岭,8,t,tl,tieling,,市,211200 ,410 ,12
171,朝阳,8,c,cy,chaoyang,,市,211300 ,421 ,13
172,葫芦岛,8,h,hld,huludao,,市,211400 ,429 ,14
173,长春,9,c,cc,changchun,,市,220100 ,431 ,1
174,吉林,9,j,jl,jilin,,市,220200 ,432 ,2
175,四平,9,s,sp,siping,,市,220300 ,434 ,3
176,辽源,9,l,ly,liaoyuan,,市,220400 ,437 ,4
177,通化,9,t,th,tonghua,,市,220500 ,435 ,5
178,白山,9,b,bs,baishan,,市,220600 ,439 ,6
179,松原,9,s,sy,songyuan,,市,220700 ,438 ,7
180,白城,9,b,bc,baicheng,,市,220800 ,436 ,8
181,延边,9,y,yb,yanbian,朝鲜族,自治州,222400 ,433 ,9
182,哈尔滨,10,h,heb,haerbin,,市,230100 ,451 ,1
183,齐齐哈尔,10,q,qqhe,qiqihaer,,市,230200 ,452 ,2
184,鸡西,10,j,jx,jixi,,市,230300 ,467 ,3
185,鹤岗,10,h,hg,hegang,,市,230400 ,468 ,4
186,双鸭山,10,s,sys,shuangyashan,,市,230500 ,469 ,5
187,大庆,10,d,dq,daqing,,市,230600 ,459 ,6
188,伊春,10,y,yc,yichun,,市,230700 ,458 ,7
189,佳木斯,10,j,jms,jiamusi,,市,230800 ,454 ,8
190,七台河,10,q,qth,qitaihe,,市,230900 ,464 ,9
191,牡丹江,10,m,mdj,mudanjiang,,市,231000 ,453 ,10
192,黑河,10,h,hh,heihe,,市,231100 ,456 ,11
193,绥化,10,s,sh,suihua,,市,231200 ,455 ,12
194,大兴安岭,10,d,dxal,daxinganling,,地区,232700 ,457 ,13
195,南京,11,n,nj,nanjing,,市,320100 ,,1
196,无锡,11,w,wx,wuxi,,市,320200 ,510 ,2
197,徐州,11,x,xz,xuzhou,,市,320300 ,516 ,3
198,常州,11,c,cz,changzhou,,市,320400 ,519 ,4
199,苏州,11,s,sz,suzhou,,市,320500 ,512 ,5
200,南通,11,n,nt,nantong,,市,320600 ,513 ,6
201,连云港,11,l,lyg,lianyungang,,市,320700 ,518 ,7
202,淮安,11,h,ha,huaian,,市,320800 ,517 ,8
203,盐城,11,y,yc,yancheng,,市,320900 ,515 ,9
204,扬州,11,y,yz,yangzhou,,市,321000 ,514 ,10
205,镇江,11,z,zj,zhenjiang,,市,321100 ,511 ,11
206,泰州,11,t,tz,taizhou,,市,321200 ,523 ,12
207,宿迁,11,s,sq,suqian,,市,321300 ,527 ,13
208,杭州,12,h,hz,hangzhou,,市,330100 ,571 ,1
209,宁波,12,n,nb,ningbo,,市,330200 ,574 ,2
210,温州,12,w,wz,wenzhou,,市,330300 ,577 ,3
211,嘉兴,12,j,jx,jiaxing,,市,330400 ,573 ,4
212,湖州,12,h,hz,huzhou,,市,330500 ,572 ,5
213,绍兴,12,s,sx,shaoxing,,市,330600 ,575 ,6
214,金华,12,j,jh,jinhua,,市,330700 ,579 ,7
215,衢州,12,q,qz,quzhou,,市,330800 ,570 ,8
216,舟山,12,z,zs,zhoushan,,市,330900 ,580 ,9
217,台州,12,t,tz,taizhou,,市,331000 ,576 ,10
218,丽水,12,l,ls,lishui,,市,331100 ,578 ,11
219,合肥,13,h,hf,hefei,,市,340100 ,551 ,1
220,芜湖,13,w,wh,wuhu,,市,340200 ,553 ,2
221,蚌埠,13,b,bb,bengbu,,市,340300 ,552 ,3
222,淮南,13,h,hn,huainan,,市,340400 ,554 ,4
